Date,MSCI PRICE,MSCI TOTAL RETURN,MSCI TOTAL RETURN,gold,LEV LOANS INDEX,CORPORATE BONDS TR,REITs GLOBAL TR,Fama French Market,Fama French Size,Fama French Value,Fama French Robust,Fama French Conservative,Risk free
12/31/1989,379.41,762.584,1205.7,401,NA,NA,NA,100,100,100,100,100,100
1/31/1990,353.94,713.133,1149.589,412.75,NA,NA,NA,92.15,98.68,100.85,98.82,101.37,100.57
2/28/1990,358.5,723.758,1100.482,407.5,NA,NA,NA,93.172865,99.81482,101.49544,98.750826,100.751643,101.143249
3/30/1990,368,740.92,1034.213,369.5,NA,NA,NA,94.87792843,101.3918942,98.53177315,100.7455927,99.79450239,101.7905658
4/30/1990,358.81,725.864,1019.493,367.75,NA,NA,NA,91.69003003,101.0674401,95.97980023,102.5690879,98.79655737,102.4929207
5/31/1990,393.8,793.009,1127.042,363.75,NA,NA,NA,99.41033056,98.67214176,92.30377388,104.1486519,97.23557176,103.1898726
6/29/1990,391.14,790.122,1119.2,352.75,NA,NA,NA,98.32675796,99.96474682,90.52231104,103.0030167,96.8855237,103.8399688
7/31/1990,389.89,788.972,1129.589,372,NA,NA,NA,96.45854956,96.83585025,90.48610212,102.8897134,100.0149261,104.5460805
8/31/1990,354.65,716.853,1024.046,385.25,NA,NA,NA,86.66800678,93.09798643,91.93387975,102.5295994,103.0053724,105.2360847
9/28/1990,337.39,683.662,916.253,404.75,NA,NA,NA,81.36392476,89.61612173,92.49467642,102.5911171,106.7238664,105.8675012
10/31/1990,335.95,681.623,1001.978,379.25,NA,NA,NA,79.80173741,85.07258436,92.49467642,105.8022191,106.38235,106.5874002
11/30/1990,357.67,726.455,985.714,384.75,NA,NA,NA,84.86914773,85.1066134,89.74758453,106.3418104,101.3930178,107.1949484
12/31/1990,367.63,746.708,1006.546,391.5,NA,NA,NA,86.95692877,85.65129572,88.2846989,109.1598684,99.55780415,107.8381181
1/31/1991,383.64,782.388,1043.551,366.75,NA,NA,NA,91.03520873,88.98313113,86.89862913,110.5352827,95.72482869,108.3988763
2/28/1991,411.08,836.52,1140.339,364.75,NA,NA,NA,97.58064023,92.560253,86.35116777,110.4800151,95.31321192,108.9191909
3/29/1991,421.03,856.964,1106.909,355.85,NA,NA,NA,100.1665272,96.09605466,85.22860258,109.927615,94.25523527,109.3984353
4/30/1991,422.03,860.373,1115.749,357.3,NA,NA,NA,99.88606092,96.40356204,86.46441732,110.6311518,95.00927715,109.978247
5/31/1991,440.24,896.179,1141.218,360.75,NA,NA,NA,103.5319021,96.51924631,86.04074168,112.8990904,92.77655914,110.4951448
6/28/1991,420.07,855.168,1070.947,369.4,NA,NA,NA,98.41742618,96.77019635,86.96137761,114.8974043,93.37032912,110.9592244
7/31/1991,439.65,895.261,1121.711,363,NA,NA,NA,102.5903251,95.85087949,85.81348743,116.7472525,92.08181858,111.5029246
