Date,Private equity,Private equity returns,MSCI PRICE,MSCI TOTAL RETURN,MSCI TOTAL RETURN.1,gold,LEV LOANS INDEX,CORPORATE BONDS TR,REITs GLOBAL TR,Fama French Market,Fama French Size,Fama French Value,Fama French Robust,Fama French Conservative,Risk free
1989-12-31,171.19,0.015422956994470383,379.41,762.584,1205.7,401.0,,,,100.0,100.0,100.0,100.0,100.0,100.0
1990-01-31,171.38333333333333,0.0011287122204031164,353.94,713.133,1149.589,412.75,,,,92.15,98.68,100.85,98.82,101.37,100.57
1990-02-28,171.57666666666668,0.0011274396653400132,358.5,723.758,1100.482,407.5,,,,93.172865,99.81482,101.49544,98.750826,100.751643,101.143249
1990-04-30,173.95666666666668,0.012649853403855715,358.81,725.864,1019.493,367.75,,,,91.69003003,101.0674401,95.97980023,102.5690879,98.79655737,102.4929207
1990-05-31,176.14333333333335,0.012491831485947458,393.8,793.009,1127.042,363.75,,,,99.41033056,98.67214176,92.30377388,104.1486519,97.23557176,103.1898726
1990-07-31,177.4466666666667,-0.004965672182519754,389.89,788.972,1129.589,372.0,,,,96.45854956,96.83585025,90.48610212,102.8897134,100.0149261,104.5460805
1990-08-31,176.56333333333333,-0.004990453188268518,354.65,716.853,1024.046,385.25,,,,86.66800678,93.09798643,91.93387975,102.5295994,103.0053724,105.2360847
1990-10-31,176.00666666666666,0.0018577147874818678,335.95,681.623,1001.978,379.25,,,,79.80173741,85.07258436,92.49467642,105.8022191,106.38235,106.5874002
1990-11-30,176.33333333333334,0.00185427008154182,357.67,726.455,985.714,384.75,,,,84.86914773,85.1066134,89.74758453,106.3418104,101.3930178,107.1949484
1990-12-31,176.66,0.001850838126796539,367.63,746.708,1006.546,391.5,,,,86.95692877,85.65129572,88.2846989,109.1598684,99.55780415,107.8381181
1991-01-31,178.21,0.008735648868022139,383.64,782.388,1043.551,366.75,,,,91.03520873,88.98313113,86.89862913,110.5352827,95.72482869,108.3988763
1991-02-28,179.76,0.008659997692065602,411.08,836.52,1140.339,364.75,,,,97.58064023,92.560253,86.35116777,110.4800151,95.31321192,108.9191909
1991-04-30,181.88333333333333,0.0031571824532710124,422.03,860.373,1115.749,357.3,,,,99.88606092,96.40356204,86.46441732,110.6311518,95.00927715,109.978247
1991-05-31,182.45666666666668,0.00314724601514893,440.24,896.179,1141.218,360.75,,,,103.5319021,96.51924631,86.04074168,112.8990904,92.77655914,110.4951448
1991-07-31,185.99333333333334,0.01606075694507325,439.65,895.261,1121.711,363.0,,,,102.5903251,95.85087949,85.81348743,116.7472525,92.08181858,111.5029246
1991-09-30,191.92,0.015560906655706752,442.53,901.496,1147.857,354.55,,,,103.3013909,98.71873397,84.2330999,115.6202913,91.84215538,112.5311109
1991-10-31,195.82333333333332,0.020134273685176396,448.48,917.089,1166.663,357.8,,,,104.6339788,99.60720257,83.84562764,113.6200602,91.63091843,113.0037416
1991-12-31,203.63,0.019354856421691657,479.63,980.63,1197.46,353.3,,,,111.1168951,96.40001002,78.83047186,118.9121827,88.78091098,113.8755451
1992-01-31,205.82999999999998,0.01074596380848547,470.7,964.318,1175.49,355.4,,,,110.4613054,105.2591709,82.53550403,117.3782155,91.62190013,114.262722
1992-03-31,210.23,0.010519869406743432,467.52,957.436,1101.174,342.55,,,,108.6950358,105.6776161,90.99513321,117.4838442,95.45417392,114.9722386
1992-04-30,210.88666666666666,0.0031186948933026315,481.25,985.481,1116.719,336.5,,,,109.8580727,99.65399202,94.92612297,119.4693211,97.582802,115.3401498
1992-06-30,212.2,0.0030993629429652003,476.41,974.462,1122.649,343.55,,,,107.6092559,97.12701193,99.1775555,118.2159255,99.04151657,116.0332241
1992-07-31,214.12333333333333,0.009022946818619815,495.87,1015.136,1125.722,357.95,,,,111.6661249,96.48597366,98.63207895,119.6818029,98.16004707,116.3929271
1992-08-31,216.04666666666665,0.008942260733071805,485.72,990.832,1153.309,340.0,,,,109.0084711,96.06143537,97.5668525,124.0860933,96.58948632,116.6955487
1992-09-30,217.97,0.008863004908847394,491.43,1001.632,1142.949,348.85,,,,110.3056719,96.48410569,97.34244874,126.0466536,95.98097255,116.9989571
1992-11-30,226.75666666666666,0.019564808839906078,509.92,1041.304,1132.302,334.45,,,,116.0328814,102.4209483,94.06017428,126.8435054,93.6043493,117.5377713
1992-12-31,231.15,0.019189360915656373,516.18,1052.826,1141.66,333.05,,,,117.8081845,104.1313781,96.5527689,126.2600253,94.3812654,117.866877
1993-03-31,236.32,0.007319091246620779,538.72,1098.308,1241.265,337.85,,,,121.7845543,102.4997441,110.1813668,123.1197186,102.1575625,118.6938691
1993-04-30,240.71333333333334,0.018419918461518137,525.7,1074.114,1299.016,355.75,,,,118.0701254,101.6182463,112.9138647,118.6874088,103.6286313,118.9787344
1993-05-31,245.10666666666665,0.01808675270197302,539.76,1101.624,1329.17,379.75,,,,121.482352,103.5794785,108.9618795,118.5924588,102.5405307,119.2404876
1993-06-30,249.5,0.017765425245012345,541.34,1105.089,1318.232,378.25,,,,121.8589473,103.7452057,111.9256426,117.5132674,103.7710171,119.5385888
1993-08-31,260.59999999999997,0.021527060321808733,559.62,1143.856,1407.503,371.35,,,,125.9502226,104.8148312,115.2430604,113.5630472,105.8665534,120.1250451
1993-09-30,266.15,0.021073394928021294,555.33,1132.651,1381.721,355.25,,,,125.7990823,107.8963872,114.8397097,113.8469548,105.697167,120.4373702
